2025-04-15 17:19:58 install libpam-runtime:all <none> 1.5.3-7ubuntu4
2025-04-15 17:19:58 status half-installed libpam-runtime:all 1.5.3-7ubuntu4
2025-04-15 17:19:58 status unpacked libpam-runtime:all 1.5.3-7ubuntu4
2025-04-15 17:19:58 install libpam0g:arm64 <none> 1.5.3-7ubuntu4
2025-04-15 17:19:58 status half-installed libpam0g:arm64 1.5.3-7ubuntu4
2025-04-15 17:19:58 status unpacked libpam0g:arm64 1.5.3-7ubuntu4
2025-04-15 17:19:58 install libpcre2-8-0:arm64 <none> 10.45-1
2025-04-15 17:19:58 status half-installed libpcre2-8-0:arm64 10.45-1
2025-04-15 17:19:58 status unpacked libpcre2-8-0:arm64 10.45-1
2025-04-15 17:19:58 install libproc2-0:arm64 <none> 2:4.0.4-7ubuntu1
2025-04-15 17:19:58 status half-installed libproc2-0:arm64 2:4.0.4-7ubuntu1
2025-04-15 17:19:58 status unpacked libproc2-0:arm64 2:4.0.4-7ubuntu1
2025-04-15 17:19:58 install libselinux1:arm64 <none> 3.7-3ubuntu3
2025-04-15 17:19:58 status half-installed libselinux1:arm64 3.7-3ubuntu3
2025-04-15 17:19:58 status unpacked libselinux1:arm64 3.7-3ubuntu3
2025-04-15 17:19:58 install libsemanage-common:all <none> 3.7-2.1build1
2025-04-15 17:19:58 status half-installed libsemanage-common:all 3.7-2.1build1
2025-04-15 17:19:58 status unpacked libsemanage-common:all 3.7-2.1build1
2025-04-15 17:19:58 install libsemanage2:arm64 <none> 3.7-2.1build1
2025-04-15 17:19:58 status half-installed libsemanage2:arm64 3.7-2.1build1
2025-04-15 17:19:58 status unpacked libsemanage2:arm64 3.7-2.1build1
2025-04-15 17:19:58 install libsepol2:arm64 <none> 3.7-1
2025-04-15 17:19:58 status half-installed libsepol2:arm64 3.7-1
2025-04-15 17:19:58 status unpacked libsepol2:arm64 3.7-1
2025-04-15 17:19:58 install libsmartcols1:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:19:58 status half-installed libsmartcols1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:58 status unpacked libsmartcols1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:58 install libss2:arm64 <none> 1.47.2-1ubuntu1
2025-04-15 17:19:58 status half-installed libss2:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:58 status unpacked libss2:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:59 install libssl3t64:arm64 <none> 3.4.1-1ubuntu3
2025-04-15 17:19:59 status half-installed libssl3t64:arm64 3.4.1-1ubuntu3
2025-04-15 17:19:59 status unpacked libssl3t64:arm64 3.4.1-1ubuntu3
2025-04-15 17:19:59 install libsystemd0:arm64 <none> 257.4-1ubuntu3
2025-04-15 17:19:59 status half-installed libsystemd0:arm64 257.4-1ubuntu3
2025-04-15 17:19:59 status unpacked libsystemd0:arm64 257.4-1ubuntu3
2025-04-15 17:19:59 install libtinfo6:arm64 <none> 6.5+20250216-2
2025-04-15 17:19:59 status half-installed libtinfo6:arm64 6.5+20250216-2
2025-04-15 17:19:59 status unpacked libtinfo6:arm64 6.5+20250216-2
2025-04-15 17:19:59 install libudev1:arm64 <none> 257.4-1ubuntu3
2025-04-15 17:19:59 status half-installed libudev1:arm64 257.4-1ubuntu3
2025-04-15 17:19:59 status unpacked libudev1:arm64 257.4-1ubuntu3
2025-04-15 17:19:59 install libuuid1:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:19:59 status half-installed libuuid1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:59 status unpacked libuuid1:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:59 install libzstd1:arm64 <none> 1.5.6+dfsg-2
2025-04-15 17:19:59 status half-installed libzstd1:arm64 1.5.6+dfsg-2
2025-04-15 17:19:59 status unpacked libzstd1:arm64 1.5.6+dfsg-2
2025-04-15 17:19:59 install login:arm64 <none> 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:19:59 status half-installed login:arm64 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:19:59 status unpacked login:arm64 1:4.16.0-2+really2.40.2-14ubuntu1
2025-04-15 17:19:59 install login.defs:all <none> 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 status half-installed login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 status unpacked login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 install logsave:arm64 <none> 1.47.2-1ubuntu1
2025-04-15 17:19:59 status half-installed logsave:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:59 status unpacked logsave:arm64 1.47.2-1ubuntu1
2025-04-15 17:19:59 upgrade mawk:arm64 1.3.4.20250131-1 1.3.4.20250131-1
2025-04-15 17:19:59 status half-configured mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:59 status unpacked mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:59 status half-installed mawk:arm64 1.3.4.20250131-1
